year,semester,campus,course_prefix,course_num,total_enrolled,passed_count,failed_count,fail_ratio,is_offered
2023,Fall,Beirut,CSC,599H,4,4,0,0,1
2023,Fall,Beirut,CSC,688G,14,13,1,0.071428571,1
2023,Fall,Beirut,BIF,498HC,4,4,0,0,1
2023,Fall,Byblos,BIF,205,23,18,2,0.217391304,1
2023,Fall,Byblos,BIF,243,20,16,2,0.2,1
2023,Fall,Byblos,BIF,245,7,7,0,0,1
2023,Fall,Byblos,BIF,310,2,1,0,0.5,1
2023,Fall,Byblos,BIF,375,8,7,0,0.125,1
2023,Fall,Byblos,BIF,524,9,9,0,0,1
2023,Fall,Byblos,BIF,599,1,1,0,0,1
2023,Fall,Byblos,CSC,201,95,86,1,0.094736842,1
2023,Fall,Byblos,CSC,243,57,44,3,0.228070175,1
2023,Fall,Byblos,CSC,245,26,17,5,0.346153846,1
2023,Fall,Byblos,CSC,310,31,25,5,0.193548387,1
2023,Fall,Byblos,CSC,326,44,40,2,0.090909091,1
2023,Fall,Byblos,CSC,375,33,32,0,0.03030303,1
2023,Fall,Byblos,CSC,430,27,27,0,0,1
2023,Fall,Byblos,CSC,431,27,23,1,0.148148148,1
2023,Fall,Byblos,CSC,443,38,36,1,0.052631579,1
2023,Fall,Byblos,CSC,463,24,18,2,0.25,1
2023,Fall,Byblos,CSC,598,1,1,0,0,1
2023,Fall,Byblos,CSC,599,8,8,0,0,1
2023,Fall,Byblos,CSC,699,8,1,1,0.875,1
2023,Fall,Byblos,MTH,101,26,12,11,0.538461538,1
2023,Fall,Byblos,MTH,102,17,8,3,0.529411765,1
2023,Fall,Byblos,MTH,201,310,216,35,0.303225806,1
2023,Fall,Byblos,MTH,206,36,26,8,0.277777778,1
2023,Fall,Byblos,MTH,207,159,106,38,0.333333333,1
2023,Fall,Byblos,MTH,301,13,12,0,0.076923077,1
2023,Fall,Byblos,MTH,304,27,13,4,0.518518519,1
2023,Fall,Byblos,MTH,305,39,31,2,0.205128205,1
2023,Fall,Byblos,MTH,311,4,4,0,0,1
2023,Fall,Byblos,STA,205,113,92,3,0.185840708,1
2023,Fall,Byblos,STA,302,37,33,1,0.108108108,1
2023,Fall,Byblos,BIF,599H,2,2,0,0,1
2023,Fall,Byblos,CSC,243B,58,43,5,0.25862069,1
2023,Fall,Byblos,CSC,245B,26,20,2,0.230769231,1
2023,Fall,Byblos,CSC,310B,31,27,3,0.129032258,1
